Calculating the offsets...
timestamp_before, timestamp_after, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1489444012.729289, 1489444012.729289, -1.087402, -0.037964, -0.283569, -0.073725, +0.566086, +1.303645 
1489444012.741587, 1489444012.741587, -1.087402, -0.037964, -0.283569, -0.073725, +0.566086, +1.303645 
1489444012.745440, 1489444012.745440, -1.087402, -0.037964, -0.283569, -0.073725, +0.566086, +1.303645 
1489444012.750678, 1489444012.750678, -1.094238, -0.035767, -0.286377, -0.165278, +0.749192, +0.952693 
1489444012.754679, 1489444012.754679, -1.094238, -0.035767, -0.286377, -0.165278, +0.749192, +0.952693 
1489444012.758635, 1489444012.758635, -1.094238, -0.035767, -0.286377, -0.378901, +0.794968, +1.013728 
1489444012.762569, 1489444012.762569, -1.094238, -0.035767, -0.286377, -0.378901, +0.794968, +1.013728 
1489444012.766517, 1489444012.766517, -1.094238, -0.035767, -0.286377, -0.378901, +0.794968, +1.013728 
1489444012.770458, 1489444012.770458, -1.088745, -0.043091, -0.292603, +0.139898, +0.733933, +1.120539 
1489444012.774394, 1489444012.774394, -1.088745, -0.043091, -0.292603, +0.139898, +0.733933, +1.120539 
1489444012.778253, 1489444012.778253, -1.088745, -0.043091, -0.292603, +0.139898, +0.733933, +1.120539 
1489444012.782001, 1489444012.782001, -1.088745, -0.043091, -0.292603, +0.307745, +0.611862, +1.471491 
1489444012.785747, 1489444012.785747, -1.088745, -0.043091, -0.292603, +0.307745, +0.611862, +1.471491 
1489444012.789535, 1489444012.789535, -1.093506, -0.036621, -0.288208, +0.307745, +0.611862, +1.471491 
1489444012.793282, 1489444012.793282, -1.093506, -0.036621, -0.288208, +0.124639, +0.764450, +1.471491 
1489444012.797118, 1489444012.797118, -1.093506, -0.036621, -0.288208, +0.124639, +0.764450, +1.471491 
1489444012.800871, 1489444012.800871, -1.093506, -0.036621, -0.288208, +0.124639, +0.764450, +1.471491 
1489444012.804617, 1489444012.804617, -1.093506, -0.036621, -0.288208, -0.012690, +0.581345, +1.578303 
1489444012.808571, 1489444012.808571, -1.089600, -0.036255, -0.285034, -0.012690, +0.581345, +1.578303 
1489444012.812522, 1489444012.812522, -1.089600, -0.036255, -0.285034, -0.012690, +0.474533, +1.410456 
1489444012.816448, 1489444012.816448, -1.089600, -0.036255, -0.285034, -0.088984, +0.474533, +1.410456 
1489444012.820436, 1489444012.820436, -1.089600, -0.036255, -0.285034, -0.088984, +0.474533, +1.410456 
1489444012.824376, 1489444012.824376, -1.089600, -0.036255, -0.285034, +0.261968, +0.566086, +1.135798 
1489444012.828247, 1489444012.828247, -1.090820, -0.025391, -0.288940, +0.261968, +0.566086, +1.135798 
1489444012.831991, 1489444012.831991, -1.090820, -0.025391, -0.288940, +0.261968, +0.566086, +1.135798 
1489444012.835737, 1489444012.835737, -1.090820, -0.025391, -0.288940, +0.048345, +0.703415, +1.013728 
1489444012.839515, 1489444012.839515, -1.090820, -0.025391, -0.288940, +0.048345, +0.703415, +1.013728 
1489444012.843256, 1489444012.843256, -1.090820, -0.025391, -0.288940, +0.048345, +0.703415, +1.013728 
1489444012.847044, 1489444012.847044, -1.090820, -0.031982, -0.281494, -0.088984, +0.718674, +0.754328 
1489444012.850786, 1489444012.850786, -1.091309, -0.031982, -0.281494, -0.088984, +0.718674, +0.754328 
1489444012.854531, 1489444012.854531, -1.091309, -0.031982, -0.281494, -0.088984, +0.718674, +0.754328 
